year,metric,med,pi95_low,pi95_high
2000,asr_cancer_incidence,20.349108287398096,14.490653320191022,26.430221960359713
2001,asr_cancer_incidence,19.982280378090035,14.74254139029265,26.873972488921424
2002,asr_cancer_incidence,19.96128808513562,14.314820331859321,26.108872826079477
2003,asr_cancer_incidence,20.234080051646856,14.5040302439291,26.456920655924026
2004,asr_cancer_incidence,20.228049844489988,13.920923680069311,26.78744708880992
2005,asr_cancer_incidence,20.61002123376869,15.032777712422776,27.483206205712158
2006,asr_cancer_incidence,20.808229945316025,15.322520143869655,27.662080785225612
2007,asr_cancer_incidence,21.52782747785958,15.619844914091702,28.38005282338142
2008,asr_cancer_incidence,21.843974733774573,16.384493941753313,28.774325956576867
2009,asr_cancer_incidence,21.91295866499737,16.268315490894874,28.589419309830767
2010,asr_cancer_incidence,22.445092482055227,16.95391241073106,29.790942563364396
2011,asr_cancer_incidence,23.081231122255147,16.699412123900107,29.999247292401144
2012,asr_cancer_incidence,23.46454258945563,17.385153473920642,30.094869772067216
2013,asr_cancer_incidence,23.7888448000747,17.69466536685127,30.913616216055658
2014,asr_cancer_incidence,24.239624733407577,17.560417219301844,30.633775022159284
2015,asr_cancer_incidence,24.308202656253354,18.279067231932217,31.640249274459578
2016,asr_cancer_incidence,24.62064828559184,17.909148622337586,31.570456537199924
2017,asr_cancer_incidence,24.78869273152533,18.72543814584659,31.884400899658708
2018,asr_cancer_incidence,25.02463038263526,18.932336440177114,32.69262437243684
2019,asr_cancer_incidence,25.098355081446876,18.70531760697399,31.649832931706232
2020,asr_cancer_incidence,25.383129052740976,19.461172879845066,31.451588805042462
2021,asr_cancer_incidence,25.43827359527646,18.896753998219907,31.822687336144213
2022,asr_cancer_incidence,25.468598380438614,18.88545814557204,32.62956453797639
2023,asr_cancer_incidence,25.40476095137616,18.476143046761482,31.622083917909446
2024,asr_cancer_incidence,25.134941083039656,19.29809901872825,32.45436299613354
2025,asr_cancer_incidence,25.281449690911256,19.22689678308722,31.43150433065099
2000,cancer_incidence_with_hiv,21.752371372548044,9.478125438552306,40.0742101776257
2001,cancer_incidence_with_hiv,22.919956215542328,9.887442214603475,39.36921949153668
2002,cancer_incidence_with_hiv,23.731252997014114,10.863916283965318,43.6198264774506
2003,cancer_incidence_with_hiv,25.18045863064341,11.168140261939737,44.78597354366893
2004,cancer_incidence_with_hiv,24.62440295445161,11.920609176122161,44.643011047538266
2005,cancer_incidence_with_hiv,26.20259769728335,12.044975620476453,45.845748166497316
2006,cancer_incidence_with_hiv,27.898505519540876,13.183779808111826,51.46794556539951
2007,cancer_incidence_with_hiv,28.54322836641886,12.137463383570378,51.984316320570045
2008,cancer_incidence_with_hiv,29.14462151567918,15.294454445418571,52.14933500405078
2009,cancer_incidence_with_hiv,31.055560164543298,14.900647911214028,53.11093426702273
2010,cancer_incidence_with_hiv,31.9909781185887,14.021639969918697,57.70957173161373
2011,cancer_incidence_with_hiv,32.284370062827676,15.20038832731254,54.14635622496345
2012,cancer_incidence_with_hiv,31.761542829207905,14.537783084507915,60.13670078332847
2013,cancer_incidence_with_hiv,34.30148022170698,14.723412766006247,61.64996203312773
2014,cancer_incidence_with_hiv,35.85600226816493,16.8493884242465,64.2187104310551
2015,cancer_incidence_with_hiv,37.102800279314806,17.937623339709287,62.36918374384298
2016,cancer_incidence_with_hiv,35.83589731986931,19.139932002588825,59.68571281093602
2017,cancer_incidence_with_hiv,44.688246095980105,29.200628739818303,63.97537953105281
2018,cancer_incidence_with_hiv,40.28054286721855,19.826644779458498,63.869510495235055
2019,cancer_incidence_with_hiv,40.57521280498811,22.164105202705464,65.51620933598258
2020,cancer_incidence_with_hiv,42.07354994175064,19.138887438928005,68.68373746763379
2021,cancer_incidence_with_hiv,42.64733003327182,20.53456597168794,72.00763555740099
2022,cancer_incidence_with_hiv,43.734034310022594,23.46333619592807,67.48457959261074
2023,cancer_incidence_with_hiv,43.49230964796091,21.44681042243711,68.57696210392785
2024,cancer_incidence_with_hiv,43.68187482353739,23.152151898994912,69.93985244695287
2025,cancer_incidence_with_hiv,44.57652390996413,23.926941206060096,70.5863116985416
2000,cancer_incidence_no_hiv,10.267333230072854,7.203940639189804,13.167187248055878
2001,cancer_incidence_no_hiv,10.467998272669158,7.784951856464489,13.894957177474033
2002,cancer_incidence_no_hiv,10.742252990817178,7.798292001112139,13.95959392056465
2003,cancer_incidence_no_hiv,11.162478828444527,7.897296997759576,14.975977577184667
2004,cancer_incidence_no_hiv,11.456764888851344,7.887290707849567,15.127679122291632
2005,cancer_incidence_no_hiv,11.703403757622363,8.82466312332898,15.667081572531895
2006,cancer_incidence_no_hiv,12.0093073674553,8.798652218030771,16.161650988902068
2007,cancer_incidence_no_hiv,12.376959190698603,8.741902436922262,16.290009886618076
2008,cancer_incidence_no_hiv,12.716329537421053,9.269958540457038,16.895661198169726
2009,cancer_incidence_no_hiv,12.95462355950778,9.64829596404525,16.815116835848983
2010,cancer_incidence_no_hiv,13.472657416575219,10.144826138617999,17.819222933764408
2011,cancer_incidence_no_hiv,13.879629322633726,10.03628015945222,18.130041285855373
2012,cancer_incidence_no_hiv,14.382716023304642,10.531859336338332,18.518474285634547
2013,cancer_incidence_no_hiv,14.774249143779667,10.67526443449885,19.128360441664345
2014,cancer_incidence_no_hiv,15.21164652489194,10.855926856143125,19.25049616285436
2015,cancer_incidence_no_hiv,15.591661554074825,11.48915760861543,20.223185292994877
2016,cancer_incidence_no_hiv,15.838229621685203,11.667586739938193,20.680117337075032
2017,cancer_incidence_no_hiv,16.217792499842965,11.998845914295332,20.642751671113857
2018,cancer_incidence_no_hiv,16.61186297133097,12.264977775540189,21.35559360909327
2019,cancer_incidence_no_hiv,16.82113431933265,12.598581475518998,21.233841594271748
2020,cancer_incidence_no_hiv,17.035849137797044,13.150380822755167,21.162114802607466
2021,cancer_incidence_no_hiv,17.477852880110177,13.16341443765555,22.133209494215986
2022,cancer_incidence_no_hiv,17.786118839869687,12.829005208530473,22.587775558221377
2023,cancer_incidence_no_hiv,17.943765122475334,13.260136113481384,22.183841773871368
2024,cancer_incidence_no_hiv,17.95275630132942,13.809892923208109,22.601891736264495
2025,cancer_incidence_no_hiv,18.003466562963972,13.611567389651878,22.821115383575474
2000,art_coverage,0.2948698183584209,0.2557187883548678,0.33749317999148937
2001,art_coverage,0.2998508534332648,0.2598017965086692,0.3504310083366886
2002,art_coverage,0.3072355327788782,0.26318378012961124,0.35238334249430386
2003,art_coverage,0.31604201217093575,0.2684084530460411,0.3578628489816605
2004,art_coverage,0.3235841518901199,0.2772672179976999,0.3692948787149569
2005,art_coverage,0.34129779996623194,0.28797101232785616,0.4012199085837724
2006,art_coverage,0.356438223555547,0.3002130258551634,0.4193207558220111
2007,art_coverage,0.3906306694477901,0.33464370794070514,0.4662644246253847
2008,art_coverage,0.49511223280389416,0.4263378080026725,0.6262072691201949
2009,art_coverage,0.5361140953158509,0.4867218557516125,0.6306293033197112
2010,art_coverage,0.5797287554808621,0.5359389067537521,0.6480706536805586
2011,art_coverage,0.6120404436036158,0.5748839140510664,0.656932195514153
2012,art_coverage,0.6740115724410001,0.6318108483587587,0.7229376890359416
2013,art_coverage,0.6984587682608835,0.6601843972057261,0.7471580805940239
2014,art_coverage,0.7403663735094169,0.7006312427684525,0.7894812521032601
2015,art_coverage,0.7771167970285444,0.7379147439849278,0.8224541053569161
2016,art_coverage,0.8290784854567693,0.7914579334555073,0.8682824830764139
2017,art_coverage,0.8362914967496375,0.8135754095576692,0.86714650135243
2018,art_coverage,0.8601433468030095,0.8332243694916024,0.886872127634331
2019,art_coverage,0.8746358332870767,0.8522505639186143,0.9024011353194443
2020,art_coverage,0.8964045613857419,0.8704742291261615,0.9211714936413203
2021,art_coverage,0.9158494693258259,0.8959063503444537,0.9459590548055855
2022,art_coverage,0.942168509852225,0.9180344244026122,0.9649828514869869
2023,art_coverage,0.9620566372434478,0.9447849191130319,0.9855428334099416
2024,art_coverage,0.9907316853842364,0.9809176730710926,0.9966618776918027
2025,art_coverage,0.991810436624515,0.9827230921710052,0.9982838295470577
2000,female_hiv_prevalence,0.06582427865386886,0.0593530169663073,0.07192388699432724
2001,female_hiv_prevalence,0.06393647309445198,0.057871024111519065,0.07041780394246698
2002,female_hiv_prevalence,0.0616792108692607,0.054784680255671896,0.06808676167108345
2003,female_hiv_prevalence,0.058786708879613875,0.0527477829443343,0.06487376193913898
2004,female_hiv_prevalence,0.055961439299211845,0.050718135407066246,0.06190457508407507
2005,female_hiv_prevalence,0.05348361402841665,0.04819188380804279,0.058456206501478265
2006,female_hiv_prevalence,0.0509530004328424,0.04615517029543024,0.05609233723585899
2007,female_hiv_prevalence,0.04871447975255098,0.04427426996371322,0.053377509997268854
2008,female_hiv_prevalence,0.047031962703106486,0.04258007131062178,0.05154174594762168
2009,female_hiv_prevalence,0.04527316475655291,0.040836514596034865,0.04964686805717213
2010,female_hiv_prevalence,0.043525924077061115,0.039475621665813414,0.04796160938765454
2011,female_hiv_prevalence,0.04244174112824704,0.03835611944293715,0.04662703514927872
2012,female_hiv_prevalence,0.04113276269428401,0.037282364907657135,0.045267985915066866
2013,female_hiv_prevalence,0.04004276944543792,0.03600003024993593,0.044213856437111065
2014,female_hiv_prevalence,0.03889287572347418,0.03508483000940932,0.04308304685003739
2015,female_hiv_prevalence,0.03784939666662703,0.03428025699079235,0.04214458893877843
2016,female_hiv_prevalence,0.03682698480701302,0.03312676998415881,0.04072111273715184
2017,female_hiv_prevalence,0.03561616581506669,0.03203164694277411,0.039406384060083066
2018,female_hiv_prevalence,0.03446026917093084,0.030854108330986434,0.03820421763282557
2019,female_hiv_prevalence,0.03314509121691729,0.02967675031070709,0.03687718699001602
2020,female_hiv_prevalence,0.0320513142057632,0.02854685015651999,0.0357031990572276
2021,female_hiv_prevalence,0.030878862751530872,0.027452643959525378,0.03437009646843758
2022,female_hiv_prevalence,0.02987976745252245,0.026365547210806615,0.033240514830799685
2023,female_hiv_prevalence,0.028857094125136484,0.025618600891809108,0.03239231073406939
2024,female_hiv_prevalence,0.027898431384393907,0.024825580994818564,0.03136066110190846
2025,female_hiv_prevalence,0.02688920500800701,0.023865922631648082,0.0303093177950371
2000,male_hiv_prevalence,0.03540902519333133,0.031219084587421637,0.04060006086186088
2001,male_hiv_prevalence,0.03533864667371495,0.031081566060087034,0.039868352823072176
2002,male_hiv_prevalence,0.03457427124826119,0.030796546145379813,0.03916739488989178
2003,male_hiv_prevalence,0.0336237805670137,0.030152817639754203,0.03822108309662284
2004,male_hiv_prevalence,0.03206702078817365,0.02851083537115338,0.036362513968560724
2005,male_hiv_prevalence,0.030475822995349212,0.027295372170806215,0.03502759301708774
2006,male_hiv_prevalence,0.02888914359757348,0.025779962205231714,0.032741145706631114
2007,male_hiv_prevalence,0.02736812913475161,0.024413104653459014,0.031016245160996936
2008,male_hiv_prevalence,0.02629184130545508,0.02345036701721344,0.02965707580978069
2009,male_hiv_prevalence,0.025352688736779795,0.022425732818278546,0.028469887205618747
2010,male_hiv_prevalence,0.024525554242165043,0.021816662679818216,0.027475033138763167
2011,male_hiv_prevalence,0.02364765960245658,0.02097380199769087,0.026502636175214627
2012,male_hiv_prevalence,0.02274346440106271,0.020227360881635032,0.025753827634966347
2013,male_hiv_prevalence,0.022041805190066124,0.01936916379692568,0.024628250394217704
2014,male_hiv_prevalence,0.021215737277607664,0.01890033680323571,0.023888364679663345
2015,male_hiv_prevalence,0.02055714497892598,0.018001054600799545,0.0232844220262992
2016,male_hiv_prevalence,0.019726145939579796,0.017397256348994732,0.022377816627961334
2017,male_hiv_prevalence,0.01889958423812314,0.016605266100149074,0.02163087842430274
2018,male_hiv_prevalence,0.018138493150985743,0.015851606917177095,0.020921345883945907
2019,male_hiv_prevalence,0.017487572041750797,0.015232146278005697,0.020260498921461846
2020,male_hiv_prevalence,0.016699824223106976,0.014661599248916845,0.019367671192455374
2021,male_hiv_prevalence,0.016192027214579508,0.014246275663629081,0.01879997162759661
2022,male_hiv_prevalence,0.015530270810015713,0.0134213822977627,0.018123448516078836
2023,male_hiv_prevalence,0.014959923759776707,0.012640180515191113,0.017438936649490065
2024,male_hiv_prevalence,0.014376838712788406,0.012303539610982558,0.01677711040255814
2025,male_hiv_prevalence,0.013838494844039739,0.011936379115241941,0.016259782698313453
2000,hiv_infections,17082.14453125,12331.31201171875,22144.31202392578
2001,hiv_infections,15579.450805664062,11395.89014892578,20036.223388671875
2002,hiv_infections,13641.886535644531,9903.770629882812,17981.673828125
2003,hiv_infections,11982.818603515625,9010.197265625,16012.76028442382
2004,hiv_infections,11549.43505859375,7801.267878723144,14982.246221923828
2005,hiv_infections,11098.180847167969,7788.981182861328,14823.562646484368
2006,hiv_infections,10216.52197265625,6966.893859863281,13783.59180908203
2007,hiv_infections,9909.728149414062,6932.565719604492,13463.320428466797
2008,hiv_infections,9558.2568359375,6320.393473815918,12869.020263671875
2009,hiv_infections,8981.901062011719,5700.84907989502,12572.5771484375
2010,hiv_infections,8694.468780517578,5986.941650390625,11982.967529296875
2011,hiv_infections,8107.688659667969,5425.405442810059,11384.124453735352
2012,hiv_infections,7508.99462890625,3950.562432861328,10514.379028320312
2013,hiv_infections,7173.9049072265625,4225.038391113281,10047.785134887688
2014,hiv_infections,6314.585418701172,3635.130978393555,9433.751733398432
2015,hiv_infections,5426.969299316406,3329.7523809432982,7786.0025634765625
2016,hiv_infections,4505.099090576172,2428.955780506134,7037.858114624017
2017,hiv_infections,3910.872802734375,2111.8117065429688,6277.5765731811525
2018,hiv_infections,3303.242889404297,1224.1955065727234,5379.31164855957
2019,hiv_infections,2994.9601142406464,1218.2383422851562,4813.381896972656
2020,hiv_infections,3005.3851318359375,1212.2811918258667,4806.308036804199
2021,hiv_infections,3005.3850708007812,1227.1740736961365,5097.91056060791
2022,hiv_infections,2698.591676712036,1213.69601624012,4786.723559570312
2023,hiv_infections,2707.5272827148438,1204.7602850794792,4190.859133911133
2024,hiv_infections,2391.79803609848,908.4662541866303,4184.901983642578
2025,hiv_infections,1507.160400390625,314.16550077199935,3586.207827758789
2000,hiv_deaths,10274.604370117188,7280.612612915039,13898.04345703125
2001,hiv_deaths,11492.842468261719,7905.14567565918,15494.115985107417
2002,hiv_deaths,12411.73388671875,8617.621206665039,16246.727319335938
2003,hiv_deaths,13306.796020507812,9657.07057800293,16858.7509765625
2004,hiv_deaths,13632.949829101562,8970.061491394043,18365.9111328125
2005,hiv_deaths,13607.631713867188,10034.903121948242,18488.181762695305
2006,hiv_deaths,13609.121704101562,9551.03295288086,18378.42152709961
2007,hiv_deaths,12748.3125,8465.118774414062,17445.67919921875
2008,hiv_deaths,9431.666442871094,5791.174810791015,13929.021252441406
2009,hiv_deaths,9072.748046875,5534.7191360473635,12700.953021240233
2010,hiv_deaths,7931.952850341797,5182.725402832031,11322.988647460932
2011,hiv_deaths,7245.3907470703125,4615.0831497192385,10434.92561950683
2012,hiv_deaths,6080.766906738281,3672.139764404297,9296.14111328125
2013,hiv_deaths,5212.511291503906,3100.922917175293,8432.353637695312
2014,hiv_deaths,5138.047027587891,2737.015320575237,7821.894557189941
2015,hiv_deaths,3955.5514526367188,1857.06881711483,6660.0999755859375
2016,hiv_deaths,3359.8358764648438,1535.3824252843856,6020.152812194824
2017,hiv_deaths,3333.028594970703,1268.7252336502074,5751.63427734375
2018,hiv_deaths,3005.3852252960205,1519.074712753296,5426.9693603515625
2019,hiv_deaths,2719.4417114257812,1225.4613906860352,5108.410124206543
2020,hiv_deaths,2427.5409545898438,911.295902466774,4481.493815612793
2021,hiv_deaths,2129.683169364929,622.5227744221687,3937.978018188476
2022,hiv_deaths,1810.975341796875,335.015545797348,3620.536004638672
2023,hiv_deaths,1504.1818282604218,311.1869222521782,3298.8495452880857
2024,hiv_deaths,1207.8133254051208,297.8577880859375,2999.4279815673826
2025,hiv_deaths,902.509094953537,5.957156181335449,2132.6617431640625
